Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
"1,166,624,872"	"4,843,120,412"	147-149	18/07/30-12:26:17	WEIZEN	1475	"1,943"	"68,20"	"1,000"	"487,45"	30.07.2018	Ein	"5,800"	Nein	"26,54"	"13,30"	"6,542"	"8470,8"	"6,542"	"8470,8"	Eingang	3.41E-02	"0,012"	"0,094"	"0,00"	"68,00"	42	"6,995"	"4,057"	"10,65"	"43,20"	"1,628"	"0,0013"	"0,0095"	"0,162"	30.07.2018
"1,166,627,204"	"4,843,121,031"	147-149	18/07/30-12:26:17	WEIZEN	1476	"1,939"	"68,20"	"1,000"	"487,54"	30.07.2018	Ein	"5,800"	Nein	"27,77"	"13,30"	"6,859"	"8880,6"	"6,859"	"8880,6"	Eingang	3.41E-02	"0,012"	"0,094"	"0,00"	"68,00"	42	"6,980"	"4,049"	"10,67"	"43,20"	"1,556"	"0,0012"	"0,0100"	"0,162"	30.07.2018
"1,166,629,545"	"4,843,121,662"	147-149	18/07/30-12:26:17	WEIZEN	1477	"1,948"	"67,80"	"1,000"	"487,63"	30.07.2018	Ein	"5,800"	Nein	"28,23"	"13,40"	"6,941"	"8987,1"	"6,941"	"8987,1"	Eingang	"-0,00034"	"0,012"	"0,094"	"0,00"	"67,00"	42	"7,013"	"4,067"	"10,62"	"43,20"	"1,530"	"0,0012"	"0,010"	"0,162"	30.07.2018
"1,166,631,918"	"4,843,122,314"	147-149	18/07/30-12:26:17	WEIZEN	1478	"1,929"	"67,50"	"1,000"	"487,70"	30.07.2018	Ein	"5,800"	Nein	"29,45"	"13,60"	"7,311"	"9466,0"	"7,302"	"9455,0"	Eingang	"0,00022"	"0,011"	"0,102"	"0,00"	"67,00"	42	"6,944"	"4,028"	"9,832"	"39,60"	"1,345"	"0,0010"	"0,011"	"0,175"	30.07.2018
"1,166,634,300"	"4,843,123,002"	147-149	18/07/30-12:26:17	WEIZEN	1479	"1,943"	"66,40"	"1,000"	"487,77"	30.07.2018	Ein	"5,800"	Nein	"29,23"	"13,40"	"7,205"	"9329,4"	"7,205"	"9329,4"	Eingang	"0,00021"	"0,011"	"0,102"	"0,00"	"63,00"	42	"6,995"	"4,057"	"9,761"	"39,60"	"1,355"	"0,0010"	"0,011"	"0,177"	30.07.2018
"1,166,636,673"	"4,843,123,688"	147-149	18/07/30-12:26:17	WEIZEN	1480	"1,968"	"66,50"	"1,000"	"487,86"	30.07.2018	Ein	"5,800"	Nein	"30,59"	"13,40"	"7,443"	"9637,9"	"7,443"	"9637,9"	Eingang	5.96E-02	"0,011"	"0,104"	"0,00"	"59,00"	42	"7,085"	"4,109"	"9,637"	"39,60"	"1,295"	"0,00100"	"0,011"	"0,179"	30.07.2018
"1,166,639,081"	"4,843,124,331"	147-149	18/07/30-12:26:17	WEIZEN	1481	"1,954"	"68,30"	"1,000"	"487,92"	30.07.2018	Ein	"5,800"	Nein	"29,93"	"13,30"	"7,336"	"9499,0"	"7,336"	"9499,0"	Eingang	"0,00093"	"0,010"	"0,113"	"0,00"	"60,00"	42	"7,034"	"4,080"	"8,824"	"36,00"	"1,203"	"0,00093"	"0,011"	"0,195"	30.07.2018
"1,166,641,461"	"4,843,124,971"	147-149	18/07/30-12:26:17	WEIZEN	1482	"1,952"	"67,90"	"1,000"	"487,97"	30.07.2018	Ein	"5,800"	Nein	"31,55"	"13,30"	"7,740"	10022	"7,740"	10022	Eingang	-6.52E-02	"0,010"	"0,113"	"0,00"	"57,00"	42	"7,027"	"4,076"	"8,833"	"36,00"	"1,141"	"0,00088"	"0,011"	"0,195"	30.07.2018
"1,166,643,841"	"4,843,125,616"	147-149	18/07/30-12:26:17	WEIZEN	1483	"1,958"	"67,80"	"1,000"	"488,01"	30.07.2018	Ein	"5,800"	Nein	"32,43"	"13,50"	"7,933"	10272	"7,933"	10272	Eingang	"0,00059"	"0,010"	"0,114"	"0,00"	"59,00"	42	"7,049"	"4,088"	"8,806"	"36,00"	"1,110"	"0,00086"	"0,012"	"0,196"	30.07.2018
"1,166,646,246"	"4,843,126,269"	147-149	18/07/30-12:26:17	WEIZEN	1484	"1,946"	"67,70"	"1,000"	"488,03"	30.07.2018	Ein	"5,800"	Nein	"33,30"	"13,40"	"8,195"	10611	"8,195"	10611	Eingang	"-0,00020"	"0,010"	"0,113"	"0,00"	"59,00"	42	"7,006"	"4,063"	"8,860"	"36,00"	"1,081"	"0,00084"	"0,012"	"0,195"	30.07.2018
