Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	FlÃ¤chenzÃ¤hler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(mÂ³/s)	Datum
11.64646228	48.39836418	RK	18/07/26-17:15:02	WEIZEN	28.0	1.806	200.0	1.0	491.48	26.07.2018	Ein	5.9	Ja	11.54	13.5	3.009	3896.1	3.009	3896.1	Eingang	0.0925	7.0	6.502000000000001	3.8360000000000003	0.0042	26.07.2018
11.64645449	48.39834997	RK	18/07/26-17:15:02	WEIZEN	29.0	1.6669999999999998	198.7	1.0	491.41	26.07.2018	Ein	5.9	Ja	12.32	13.3	3.4810000000000003	4507.0	3.4810000000000003	4507.0	Eingang	0.00041	7.0	6.001	3.5410000000000004	0.0044	26.07.2018
11.646448	48.39833724	RK	18/07/26-17:15:02	WEIZEN	30.0	1.5830000000000002	201.5	1.0	491.36	26.07.2018	Ein	5.9	Ja	12.82	13.5	3.812	4935.2	3.812	4935.2	Eingang	0.0419	7.0	5.699	3.362	0.0046	26.07.2018
11.64644028	48.39832422	RK	18/07/26-17:15:02	WEIZEN	31.0	1.5830000000000002	203.5	1.0	491.31	26.07.2018	Ein	5.9	Ja	12.98	13.6	3.859	4996.8	3.855	4991.1	Eingang	0.0856	7.0	5.699	3.362	0.0047	26.07.2018
11.64643167	48.39831106	RK	18/07/26-17:15:02	WEIZEN	32.0	1.5830000000000002	198.1	1.0	491.26	26.07.2018	Ein	5.9	Ja	12.25	13.6	3.645	4719.2	3.641	4713.8	Eingang	0.00023999999999999998	7.0	5.699	3.362	0.0044	26.07.2018
11.64642352	48.39829452	RK	18/07/26-17:15:02	WEIZEN	33.0	1.9169999999999998	197.3	1.0	491.13	26.07.2018	Ein	5.9	Ja	13.04	13.4	3.202	4145.9	3.202	4145.9	Eingang	-0.00027	7.0	6.901	4.072	0.0047	26.07.2018
11.64641501	48.39827634	RK	18/07/26-17:15:02	WEIZEN	34.0	2.028	202.4	1.0	490.99	26.07.2018	Ein	5.9	Ja	14.69	13.4	3.411	4416.8	3.411	4416.8	Eingang	-0.0112	7.0	7.301	4.3069999999999995	0.0053	26.07.2018
11.64640479	48.39825988	RK	18/07/26-17:15:02	WEIZEN	35.0	2.028	203.5	1.0	490.92	26.07.2018	Ein	5.9	Ja	15.16	13.4	3.52	4557.3	3.52	4557.3	Eingang	0.00065	7.0	7.301	4.3069999999999995	0.0055	26.07.2018
11.64639407	48.3982435	RK	18/07/26-17:15:02	WEIZEN	36.0	2.028	203.5	1.0	490.83	26.07.2018	Ein	5.9	Ja	16.72	13.5	3.8819999999999997	5025.8	3.8819999999999997	5025.8	Eingang	0.00021	7.0	7.301	4.3069999999999995	0.006	26.07.2018
11.64638281	48.39822631	RK	18/07/26-17:15:02	WEIZEN	37.0	2.028	202.8	1.0	490.7	26.07.2018	Ein	5.9	Ja	17.45	13.4	4.052	5246.6	4.052	5246.6	Eingang	0.00054	7.0	7.301	4.3069999999999995	0.0063	26.07.2018
11.64637186	48.39820906	RK	18/07/26-17:15:02	WEIZEN	38.0	2.028	201.7	1.0	490.56	26.07.2018	Ein	5.9	Ja	17.34	13.3	4.025	5212.2	4.025	5212.2	Eingang	0.00025	7.0	7.301	4.3069999999999995	0.0062	26.07.2018
11.64636154	48.39819185	RK	18/07/26-17:15:02	WEIZEN	39.0	2.028	199.2	1.0	490.42	26.07.2018	Ein	5.9	Ja	17.2	13.4	3.9930000000000003	5170.0	3.9930000000000003	5170.0	Eingang	0.0697	7.0	7.301	4.3069999999999995	0.0062	26.07.2018
11.64635277	48.39817509	RK	18/07/26-17:15:02	WEIZEN	40.0	2.028	199.5	1.0	490.32	26.07.2018	Ein	5.9	Ja	19.73	13.5	4.581	5931.5	4.581	5931.5	Eingang	0.0697	7.0	7.301	4.3069999999999995	0.0071	26.07.2018
11.64634404	48.39815879	RK	18/07/26-17:15:02	WEIZEN	41.0	1.889	203.0	1.0	490.21	26.07.2018	Ein	5.9	Ja	19.73	13.5	4.918	6368.0	4.918	6368.0	Eingang	-0.00035	7.0	6.8	4.012	0.0071	26.07.2018
11.64633418	48.39814338	RK	18/07/26-17:15:02	WEIZEN	42.0	1.889	204.5	1.0	490.07	26.07.2018	Ein	5.9	Ja	20.75	13.2	5.172999999999999	6697.9	5.172999999999999	6697.9	Eingang	0.00032	7.0	6.8	4.012	0.0075	26.07.2018
11.64632317	48.39812729	RK	18/07/26-17:15:02	WEIZEN	43.0	1.861	203.5	1.0	489.95	26.07.2018	Ein	5.9	Ja	19.39	13.5	4.906000000000001	6352.6	4.906000000000001	6352.6	Eingang	0.00031	7.0	6.7	3.9530000000000003	0.007	26.07.2018
11.64631325	48.39811216	RK	18/07/26-17:15:02	WEIZEN	44.0	1.861	202.8	1.0	489.85	26.07.2018	Ein	5.9	Ja	19.55	13.6	4.945	6403.4	4.94	6396.0	Eingang	0.00021	7.0	6.7	3.9530000000000003	0.007	26.07.2018
11.64630454	48.3980984	RK	18/07/26-17:15:02	WEIZEN	45.0	1.694	205.2	1.0	489.83	26.07.2018	Ein	5.9	Ja	18.1	13.3	5.032	6515.1	5.032	6515.1	Eingang	0.00056	7.0	6.098	3.5980000000000003	0.0065	26.07.2018
11.64629542	48.39808553	RK	18/07/26-17:15:02	WEIZEN	46.0	1.639	205.8	1.0	489.84	26.07.2018	Ein	5.9	Ja	18.39	13.4	5.282	6839.3	5.282	6839.3	Eingang	0.0398	7.0	5.9	3.4810000000000003	0.0066	26.07.2018
11.6462861	48.39807271	RK	18/07/26-17:15:02	WEIZEN	47.0	1.5830000000000002	202.7	1.0	489.81	26.07.2018	Ein	5.9	Ja	17.43	13.6	5.183	6711.4	5.1770000000000005	6703.7	Eingang	-0.00022	7.0	5.699	3.362	0.0063	26.07.2018
11.64627794	48.39805973	RK	18/07/26-17:15:02	WEIZEN	48.0	1.556	202.9	1.0	489.78	26.07.2018	Ein	5.9	Ja	17.26	13.6	5.222	6761.4	5.216	6753.6	Eingang	0.00054	7.0	5.602	3.305	0.0062	26.07.2018
11.64627009	48.39804742	RK	18/07/26-17:15:02	WEIZEN	49.0	1.472	203.6	1.0	489.68	26.07.2018	Ein	5.9	Ja	18.15	13.6	5.805	7516.1	5.797999999999999	7507.4	Eingang	-0.0289	7.0	5.2989999999999995	3.127	0.0065	26.07.2018
11.64626251	48.39803588	RK	18/07/26-17:15:02	WEIZEN	50.0	1.472	204.0	1.0	489.67	26.07.2018	Ein	5.9	Ja	18.15	13.6	5.805	7516.1	5.797999999999999	7507.4	Eingang	0.00053	7.0	5.2989999999999995	3.127	0.0065	26.07.2018
11.64625532	48.39802514	RK	18/07/26-17:15:02	WEIZEN	51.0	1.194	200.4	1.0	489.67	26.07.2018	Ein	5.9	Ja	18.56	13.4	7.318	9475.0	7.318	9475.0	Eingang	-0.0631	7.0	4.298	2.536	0.0067	26.07.2018
11.64624972	48.39801517	RK	18/07/26-17:15:02	WEIZEN	52.0	1.194	199.2	1.0	489.67	26.07.2018	Ein	5.9	Ja	17.28	13.4	6.815	8824.6	6.815	8824.6	Eingang	0.07	7.0	4.298	2.536	0.0062	26.07.2018
11.64624433	48.39800491	RK	18/07/26-17:15:02	WEIZEN	53.0	1.306	196.4	1.0	489.67	26.07.2018	Ein	5.9	Ja	18.8	13.5	6.777	8774.8	6.777	8774.8	Eingang	-0.00039	7.0	4.702	2.7739999999999996	0.0068	26.07.2018
11.64623937	48.39799374	RK	18/07/26-17:15:02	WEIZEN	54.0	1.361	197.5	1.0	489.84	26.07.2018	Ein	5.9	Ja	19.42	13.6	6.718	8698.8	6.71	8688.8	Eingang	0.00025	7.0	4.9	2.891	0.007	26.07.2018
11.64623402	48.39798243	RK	18/07/26-17:15:02	WEIZEN	55.0	1.306	206.6	1.0	490.09	26.07.2018	Ein	5.9	Ja	17.82	13.5	6.425	8319.3	6.425	8319.3	Eingang	-0.00013000000000000002	7.0	4.702	2.7739999999999996	0.0064	26.07.2018
11.646225900000001	48.39797155	RK	18/07/26-17:15:02	WEIZEN	56.0	1.306	205.1	1.0	489.91	26.07.2018	Ein	5.9	Ja	17.3	13.3	6.235	8073.8	6.235	8073.8	Eingang	0.00022	7.0	4.702	2.7739999999999996	0.0062	26.07.2018
11.64621899	48.39796174	RK	18/07/26-17:15:02	WEIZEN	57.0	1.278	202.0	1.0	489.74	26.07.2018	Ein	5.9	Ja	16.01	13.4	5.898	7636.8	5.898	7636.8	Eingang	0.00039	7.0	4.601	2.714	0.0058	26.07.2018
11.64621302	48.39795194	RK	18/07/26-17:15:02	WEIZEN	58.0	1.278	203.6	1.0	489.64	26.07.2018	Ein	5.9	Ja	14.95	13.4	5.507000000000001	7130.4	5.507000000000001	7130.4	Eingang	-0.00047000000000000004	7.0	4.601	2.714	0.0054	26.07.2018
11.64620653	48.39794201	RK	18/07/26-17:15:02	WEIZEN	59.0	1.222	197.0	1.0	489.58	26.07.2018	Ein	5.9	Ja	15.33	13.4	5.907	7647.8	5.907	7647.8	Eingang	-0.0736	7.0	4.399	2.596	0.0055	26.07.2018
11.64620173	48.39793155	RK	18/07/26-17:15:02	WEIZEN	60.0	1.194	197.8	1.0	489.93	26.07.2018	Ein	5.9	Ja	14.77	13.5	5.8229999999999995	7539.7	5.8229999999999995	7539.7	Eingang	0.0673	7.0	4.298	2.536	0.0053	26.07.2018
11.64619741	48.39792262	RK	18/07/26-17:15:02	WEIZEN	61.0	0.9440000000000001	202.2	1.0	490.15	26.07.2018	Ein	5.9	Ja	15.91	13.5	7.937	10276.0	7.937	10276.0	Eingang	0.00025	7.0	3.398	2.005	0.0057	26.07.2018
11.64619282	48.39791516	RK	18/07/26-17:15:02	WEIZEN	62.0	0.9440000000000001	204.7	1.0	490.22	26.07.2018	Ein	5.9	Ja	15.01	13.2	7.4879999999999995	9695.1	7.4879999999999995	9695.1	Eingang	0.0905	7.0	3.398	2.005	0.0054	26.07.2018
11.64618691	48.39790663	RK	18/07/26-17:15:02	WEIZEN	63.0	1.111	205.3	1.0	490.25	26.07.2018	Ein	5.9	Ja	15.65	13.2	6.632999999999999	8587.9	6.632999999999999	8587.9	Eingang	-0.00011	7.0	4.0	2.36	0.0056	26.07.2018
11.6461808	48.39789805	RK	18/07/26-17:15:02	WEIZEN	64.0	1.0	204.5	1.0	490.25	26.07.2018	Ein	5.9	Ja	15.34	13.3	7.223	9352.6	7.223	9352.6	Eingang	0.00066	7.0	3.6	2.124	0.0055	26.07.2018
11.64617572	48.39789067	RK	18/07/26-17:15:02	WEIZEN	65.0	1.056	206.3	1.0	490.24	26.07.2018	Ein	5.9	Ja	14.75	13.3	6.575	8513.2	6.575	8513.2	Eingang	0.00029	7.0	3.802	2.2430000000000003	0.0053	26.07.2018
11.64616937	48.39788215	RK	18/07/26-17:15:02	WEIZEN	66.0	1.194	203.6	1.0	490.12	26.07.2018	Ein	5.9	Ja	14.31	13.4	5.643	7306.8	5.643	7306.8	Eingang	0.00021	7.0	4.298	2.536	0.0051	26.07.2018
11.64616325	48.39787284	RK	18/07/26-17:15:02	WEIZEN	67.0	1.194	200.3	1.0	490.07	26.07.2018	Ein	5.9	Ja	13.38	13.4	5.275	6829.8	5.275	6829.8	Eingang	0.0933	7.0	4.298	2.536	0.0048	26.07.2018
11.64615785	48.39786312	RK	18/07/26-17:15:02	WEIZEN	68.0	1.167	202.8	1.0	490.09	26.07.2018	Ein	5.9	Ja	14.3	13.5	5.769	7470.3	5.769	7470.3	Eingang	0.00055	7.0	4.2010000000000005	2.479	0.0051	26.07.2018
11.64615214	48.39785412	RK	18/07/26-17:15:02	WEIZEN	69.0	1.083	206.3	1.0	490.08	26.07.2018	Ein	5.9	Ja	14.81	13.5	6.438	8336.3	6.438	8336.3	Eingang	-0.00029	7.0	3.8989999999999996	2.3	0.0053	26.07.2018
11.64614627	48.39784624	RK	18/07/26-17:15:02	WEIZEN	70.0	1.0	207.7	1.0	490.11	26.07.2018	Ein	5.9	Ja	14.51	13.5	6.832999999999999	8847.2	6.832999999999999	8847.2	Eingang	0.00031	7.0	3.6	2.124	0.0052	26.07.2018
11.64614031	48.39783871	RK	18/07/26-17:15:02	WEIZEN	71.0	1.0	205.6	1.0	490.14	26.07.2018	Ein	5.9	Ja	14.8	13.2	6.968	9022.6	6.968	9022.6	Eingang	0.00045999999999999996	7.0	3.6	2.124	0.0053	26.07.2018
11.64613467	48.39783088	RK	18/07/26-17:15:02	WEIZEN	72.0	1.056	205.3	1.0	490.17	26.07.2018	Ein	5.9	Ja	14.03	13.2	6.257000000000001	8102.2	6.257000000000001	8102.2	Eingang	0.00045999999999999996	7.0	3.802	2.2430000000000003	0.005	26.07.2018
11.64612859	48.39782236	RK	18/07/26-17:15:02	WEIZEN	73.0	1.167	205.4	1.0	490.22	26.07.2018	Ein	5.9	Ja	15.72	13.3	6.343999999999999	8214.1	6.343999999999999	8214.1	Eingang	0.00045999999999999996	7.0	4.2010000000000005	2.479	0.0057	26.07.2018
11.646121800000001	48.39781288	RK	18/07/26-17:15:02	WEIZEN	74.0	1.278	204.5	1.0	490.26	26.07.2018	Ein	5.9	Ja	15.54	13.4	5.726	7414.0	5.726	7414.0	Eingang	0.00043	7.0	4.601	2.714	0.0056	26.07.2018
11.64611521	48.3978033	RK	18/07/26-17:15:02	WEIZEN	75.0	1.25	205.3	1.0	490.3	26.07.2018	Ein	5.9	Ja	14.99	13.4	5.646	7310.8	5.646	7310.8	Eingang	-0.0117	7.0	4.5	2.655	0.0054	26.07.2018
11.64610823	48.3977935	RK	18/07/26-17:15:02	WEIZEN	76.0	1.25	204.3	1.0	490.34	26.07.2018	Ein	5.9	Ja	14.44	13.4	5.438	7041.6	5.438	7041.6	Eingang	-0.00014	7.0	4.5	2.655	0.0052	26.07.2018
11.64610116	48.39778313	RK	18/07/26-17:15:02	WEIZEN	77.0	1.528	203.4	1.0	490.42	26.07.2018	Ein	5.9	Ja	14.82	13.4	4.567	5913.0	4.567	5913.0	Eingang	0.0864	7.0	5.501	3.245	0.0053	26.07.2018
11.64609356	48.39777148	RK	18/07/26-17:15:02	WEIZEN	78.0	1.556	201.2	1.0	490.5	26.07.2018	Ein	5.9	Ja	16.35	13.4	4.947	6405.5	4.947	6405.5	Eingang	-0.0171	7.0	5.602	3.305	0.0059	26.07.2018
11.64608651	48.39775939	RK	18/07/26-17:15:02	WEIZEN	79.0	1.5830000000000002	198.9	1.0	490.6	26.07.2018	Ein	5.9	Ja	16.01	13.4	4.762	6165.4	4.762	6165.4	Eingang	-0.00011	7.0	5.699	3.362	0.0058	26.07.2018
11.64607999	48.39774672	RK	18/07/26-17:15:02	WEIZEN	80.0	1.722	200.5	1.0	490.75	26.07.2018	Ein	5.9	Ja	15.33	13.4	4.192	5427.2	4.192	5427.2	Eingang	0.00047999999999999996	7.0	6.199	3.658	0.0055	26.07.2018
11.64607253	48.39773345	RK	18/07/26-17:15:02	WEIZEN	81.0	1.9169999999999998	202.3	1.0	490.93	26.07.2018	Ein	5.9	Ja	14.48	13.4	3.557	4605.1	3.557	4605.1	Eingang	0.00045999999999999996	7.0	6.901	4.072	0.0052	26.07.2018
